;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
387;1921563,257;1892596,08;1889611,817;1886604,25;1883572,864;1880517,128;1877436,487;1874330,367;1871198,174;1868039,286;1864853,058;1861638,821;1858395,876
388;1923930,115;1894981,832;1892021,371;1889038,119;1886031,581;1883001,243;1879946,572;1876867,016;1873762,001;1870630,932;1867473,188;1864288,127;1861075,077
389;1926297,543;1897367,523;1894430,541;1891471,268;1888489,225;1885483,917;1882454,832;1879401,437;1876323,181;1873219,491;1870089,771;1866933,404;1863749,745
390;1928665,566;1899753,192;1896839,373;1893903,747;1890945,854;1887965,217;1884961,342;1881933,716;1878881,808;1875805,068;1872702,923;1869574,779;1866420,019
391;1931034,21;1902138,876;1899247,91;1896335,608;1893401,528;1890445,209;1887466,176;1884463,934;1881437,974;1878387,765;1875312,757;1872212,379;1869086,038
392;1933403,5;1904524,613;1901656,194;1898766,899;1895856,301;1892923,956;1889969,405;1886992,174;1883991,769;1880967,682;1877919,383;1874846,324;1871747,935
393;1935773,46;1906910,438;1904064,268;1901197,669;1898310,229;1895401,521;1892471,1;1889518,511;1886543,28;1883544,915;1880522,908;1877476,732;1874405,84
394;1938144,114;1909296,386;1906472,172;1903627,965;1900763,366;1897877,963;1894971,329;1892043,024;1889092,592;1886119,559;1883123,437;1880103,719;1877059,878
395;1940515,484;1911682,491;1908879,946;1906057,832;1903215,764;1900353,343;1897470,159;1894565,787;1891639,788;1888691,706;1885721,071;1882727,395;1879710,174
396;1942887,595;1914068,787;1911287,63;1908487,316;1905667,474;1902827,718;1899967,654;1897086,872;1894184,948;1891261,445;1888315,908;1885347,87;1882356,845
397;1945260,468;1916455,306;1913695,261;1910916,461;1908118,546;1905301,146;1902463,879;1899606,35;1896728,152;1893828,863;1890908,046;1887965,25;1885000,009
398;1947634,126;1918842,082;1916102,878;1913345,309;1910569,029;1907773,68;1904958,895;1902124,291;1899269,477;1896394,046;1893497,577;1890579,638;1887639,778
399;1950008,589;1921229,145;1918510,516;1915773,903;1913018,971;1910245,376;1907452,762;1904640,762;1901808,997;1898957,076;1896084,594;1893191,133;1890276,262
400;1952383,88;1923616,527;1920918,212;1918202,284;1915468,42;1912716,286;1909945,541;1907155,829;1904346,786;1901518,034;1898669,185;1895799,835;1892909,569
401;1954760,02;1926004,258;1923326,001;1920630,492;1917917,42;1915186,462;1912437,288;1909669,557;1906882,915;1904077;1901251,437;1898405,838;1895539,803
402;1957137,027;1928392,367;1925733,917;1923058,567;1920366,016;1917655,954;1914928,061;1912182,008;1909417,454;1906634,05;1903831,435;1901009,235;1898167,065
403;1959514,924;1930780,884;1928141,994;1925486,547;1922814,253;1920124,812;1917417,914;1914693,243;1911950,471;1909189,26;1906409,261;1903610,116;1900791,454
404;1961893,729;1933169,837;1930550,264;1927914,47;1925262,173;1922593,083;1919906,902;1917203,324;1914482,032;1911742,702;1908984,997;1906208,571;1903413,067
405;1964273,462;1935559,253;1932958,761;1930342,373;1927709,818;1925060,815;1922395,077;1919712,308;1917012,203;1914294,448;1911558,719;1908804,684;1906031,998
406;1966654,142;1937949,162;1935367,516;1932770,293;1930157,229;1927528,054;1924882,491;1922220,253;1919541,046;1916844,568;1914130,506;1911398,54;1908648,338
407;1969035,788;1940339,588;1937776,56;1935198,264;1932604,446;1929994,845;1927369,193;1924727,214;1922068,624;1919393,13;1916700,432;1913990,221;1911262,176
408;1971418,417;1942730,559;1940185,923;1937626,322;1935051,509;1932461,233;1929855,235;1927233,247;1924594,996;1921940,201;1919268,57;1916579,806;1913873,6
409;1973802,049;1945122,101;1942595,636;1940054,5;1937498,456;1934927,261;1932340,663;1929738,405;1927120,223;1924485,845;1921834,991;1919167,373;1916482,695
410;1976186,7;1947514,238;1945005,727;1942482,832;1939945,325;1937392,97;1934825,525;1932242,74;1929644,362;1927030,126;1924399,765;1921752,999;1919089,543
411;1978572,388;1949906,996;1947416,225;1944911,351;1942392,153;1939858,403;1937309,866;1934746,304;1932167,468;1929573,107;1926962,959;1924336,757;1921694,225
412;1980959,13;1952300,398;1949827,158;1947340,088;1944838,976;1942323,599;1939793,733;1937249,146;1934689,599;1932114,847;1929524,641;1926918,72;1924296,82
413;1983346,944;1954694,47;1952238,554;1949769,076;1947285,829;1944788,599;1942277,17;1939751,315;1937210,807;1934655,407;1932084,874;1929498,959;1926897,406
414;1985735,844;1957089,234;1954650,439;1952198,344;1949732,747;1947253,442;1944760,219;1942252,86;1939731,145;1937194,843;1934643,723;1932077,543;1929496,056
415;1988125,849;1959484,713;1957062,841;1954627,923;1952179,764;1949718,165;1947242,923;1944753,827;1942250,664;1939733,214;1937201,249;1934654,539;1932092,844
416;1990516,973;1961880,931;1959475,785;1957057,842;1954626,913;1952182,806;1949725,323;1947254,262;1944769,416;1942270,572;1939757,512;1937230,013;1934687,843
417;1992909,233;1964277,908;1961889,297;1959488,13;1957074,227;1954647,401;1952207,46;1949754,21;1947287,45;1944806,975;1942312,573;1939804,029;1937281,122
418;1995302,644;1966675,668;1964303,401;1961918,817;1959521,739;1957111,986;1954689,374;1952253,715;1949804,814;1947342,473;1944866,488;1942376,651;1939872,748
419;1997697,22;1969074,23;1966718,123;1964349,929;1961969,478;1959576,596;1957171,104;1954752,819;1952321,555;1949877,118;1947419,314;1944947,94;1942462,79
420;2000092,978;1971473,617;1969133,486;1966781,494;1964417,477;1962041,266;1959652,687;1957251,566;1954837,719;1952410,962;1949971,106;1947517,956;1945051,312
421;2002489,931;1973873,849;1971549,514;1969213,539;1966865,765;1964506,029;1962134,162;1959749,995;1957353,352;1954944,055;1952521,919;1950086,758;1947638,378
422;2004888,094;1976274,945;1973966,23;1971646,09;1969314,372;1966970,917;1964615,564;1962248,148;1959868,498;1957476,443;1955071,805;1952654,403;1950224,05
423;2007287,481;1978676,927;1976383,657;1974079,174;1971763,327;1969435,965;1967096,93;1964746,064;1962383,201;1960008,176;1957620,816;1955220,947;1952808,39
424;2009688,107;1981079,813;1978801,817;1976512,814;1974212,658;1971901,202;1969578,295;1967243,781;1964897,503;1962539,299;1960169,003;1957786,446;1955391,455
425;2012089,984;1983483,623;1981220,733;1978947,036;1976662,394;1974366,661;1972059,693;1969741,338;1967411,445;1965069,857;1962716,415;1960350,953;1957973,306
426;2014493,127;1985888,375;1983640,425;1981381,865;1979112,56;1976832,372;1974541,157;1972238,773;1969925,069;1967599,897;1965263,1;1962914,521;1960553,999
427;2016897,549;1988294,088;1986060,915;1983817,325;1981563,186;1979298,364;1977022,722;1974736,12;1972438,415;1970129,46;1967809,106;1965477,201;1963133,589
428;2019303,262;1990700,781;1988482,224;1986253,438;1984014,296;1981764,667;1979504,419;1977233,417;1974951,521;1972658,59;1970354,48;1968039,044;1965712,13
429;2021710,28;1993108,47;1990904,372;1988690,228;1986465,917;1984231,31;1981986,281;1979730,697;1977464,425;1975187,329;1972899,267;1970600,099;1968289,678
430;2024118,615;1995517,174;1993327,379;1991127,719;1988918,073;1986698,321;1984468,338;1982227,996;1979977,167;1977715,717;1975443,512;1973160,414;1970866,282
431;2026528,28;1997926,909;1995751,265;1993565,93;1991370,791;1989165,728;1986950,621;1984725,347;1982489,781;1980243,795;1977987,258;1975720,036;1973441,995
432;2028939,287;2000337,694;1998176,049;1996004,886;1993824,094;1991633,558;1989433,16;1987222,783;1985002,305;1982771,602;1980530,547;1978279,013;1976016,866
433;2031351,648;2002749,543;2000601,75;1998444,607;1996278,006;1994101,837;1991915,985;1989720,336;1987514,773;1985299,176;1983073,422;1980837,388;1978590,945
434;2033765,375;2005162,475;2003028,387;2000885,115;1998732,552;1996570,591;1994399,124;1992218,039;1990027,221;1987826,556;1985615,924;1983395,206;1981164,279
435;2036180,48;2007576,505;2005455,979;2003326,429;2001187,753;1999039,848;1996882,606;1994715,921;1992539,683;1990353,778;1988158,093;1985952,512;1983736,915
436;2038596,974;2009991,648;2007884,542;2005768,57;2003643,633;2001509,63;1999366,459;1997214,015;1995052,191;1992880,879;1990699,968;1988509,347;1986308,899
437;2041014,869;2012407,92;2010314,096;2008211,559;2006100,215;2003979,965;2001850,71;1999712,349;1997564,778;1995407,894;1993241,588;1991065,753;1988880,276
438;2043434,175;2014825,338;2012744,657;2010655,415;2008557,519;2006450,875;2004335,385;2002210,953;2000077,478;1997934,858;1995782,991;1993621,771;1991451,09
439;2045854,904;2017243,915;2015176,243;2013100,157;2011015,568;2008922,384;2006820,512;2004709,856;2002590,32;2000461,806;1998324,214;1996177,441;1994021,384
440;;2019663,666;2017608,87;2015545,805;2013474,383;2011394,517;2009306,115;2007209,086;2005103,336;2002988,771;2000865,293;1998732,803;1996591,201
